sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	bone_marrow_transplant_timestamp	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	donor_genotype	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	irradiated	irradiation_dosage	irradiation_dosage_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	title	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
13189.WT10.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	19.9	ng/ul	Box1-5	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1383			grams
13189.WT10.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	59.4	ng/ul	Box1-25	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1535			grams
13189.WT10.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	56	ng/ul	Box1-45	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0563			grams
13189.WT12.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	120.7	ng/ul	Box1-6	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1568			grams
13189.WT12.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	134.1	ng/ul	Box1-26	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1803			grams
13189.WT12.tp4			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	51	ng/ul	Box1-46	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0512			grams
13189.WT12.tp6			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	58.22	ng/ul	Box1-65	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.2263			grams
13189.WT12.tp8			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	82.9	ng/ul	Box1-77	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1544			grams
13189.WT13.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	103.3	ng/ul	Box1-7	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1895			grams
13189.WT13.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	101.7	ng/ul	Box1-27	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1497			grams
13189.WT13.tp4			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	57.3	ng/ul	Box1-47	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0843			grams
13189.WT13.tp6			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	68.93	ng/ul	Box1-66	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1936			grams
13189.WT13.tp8			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	191	ng/ul	Box1-78	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.2851			grams
13189.WT14.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-14	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		3	14			13189	feces	mouse gut metagenome	female	92.2	ng/ul	Box1-8	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1794			grams
13189.WT14.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-14	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	14			13189	feces	mouse gut metagenome	female	64.4	ng/ul	Box1-28	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1811			grams
13189.WT14.tp4			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-14	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	14			13189	feces	mouse gut metagenome	female	58.3	ng/ul	Box1-48	410661	4 weeks after BMT	4	pax5 bone marrow transplant	51			grams
13189.WT14.tp6			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-14	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	14			13189	feces	mouse gut metagenome	female	129.28	ng/ul	Box1-67	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1329			grams
13189.WT14.tp8			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-14	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	14			13189	feces	mouse gut metagenome	female	82.3	ng/ul	Box1-79	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1224			grams
13189.WT15.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-15	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		SM	15			13189	feces	mouse gut metagenome	female	61.3	ng/ul	Box1-9	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1505			grams
13189.WT15.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-15	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	15			13189	feces	mouse gut metagenome	female	71.5	ng/ul	Box1-29	410661	2 weeks after BMT	2	pax5 bone marrow transplant	181			grams
13189.WT15.tp4			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-15	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	15			13189	feces	mouse gut metagenome	female	48.2	ng/ul	Box1-49	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0428			grams
13189.WT15.tp6			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-15	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	15			13189	feces	mouse gut metagenome	female	62.16	ng/ul	Box1-68	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1738			grams
13189.WT15.tp8			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-15	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	15			13189	feces	mouse gut metagenome	female	43	ng/ul	Box1-80	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1857			grams
13189.WT20.tp0			2019-12-31 00:00:00		2020-02-07 00:00:00	CAGE-4		BMT	2020-02-07 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-20	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		SMN	20			13189	feces	mouse gut metagenome	female	114.6	ng/ul	Box1-10	410661	0 (before BMT)	0	pax5 bone marrow transplant	175			grams
13189.WT20.tp2			2019-12-31 00:00:00		2020-02-07 00:00:00	CAGE-4		BMT	2020-02-21 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-20	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	20			13189	feces	mouse gut metagenome	female	60.1	ng/ul	Box1-30	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1369			grams
13189.WT20.tp4			2019-12-31 00:00:00		2020-02-07 00:00:00	CAGE-4		BMT	2020-03-06 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-20	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	20			13189	feces	mouse gut metagenome	female	63.2	ng/ul	Box1-50	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.2019			grams
13189.WT20.tp6			2019-12-31 00:00:00		2020-02-07 00:00:00	CAGE-4		BMT	2020-03-20 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-20	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	20			13189	feces	mouse gut metagenome	female	131.4	ng/ul	Box1-69	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.3435			grams
13189.WT20.tp8			2019-12-31 00:00:00		2020-02-07 00:00:00	CAGE-4		BMT	2020-04-03 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-20	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	20			13189	feces	mouse gut metagenome	female	332.9	ng/ul	Box1-81	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.4021			grams
13189.WT21.tp0			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-14 00:00:00		2020-03-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	42		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-21	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1N	21			13189	feces	mouse gut metagenome	female	240.4	ng/ul	Box1-11	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1432			grams
13189.WT21.tp2			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-28 00:00:00		2020-03-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	56		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-21	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	21			13189	feces	mouse gut metagenome	female	75.8	ng/ul	Box1-31	410661	2 weeks after BMT	2	pax5 bone marrow transplant	201			grams
13189.WT21.tp4			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-03-13 00:00:00		2020-03-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	70		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-21	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	21			13189	feces	mouse gut metagenome	female	87.81	ng/ul	Box1-51	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1231			grams
13189.WT22.tp0			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-14 00:00:00		2020-03-17 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	42		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-22	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1	22			13189	feces	mouse gut metagenome	female	75.6	ng/ul	Box1-12	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1191			grams
13189.WT22.tp2			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-28 00:00:00		2020-03-17 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	56		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-22	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	22			13189	feces	mouse gut metagenome	female	92.4	ng/ul	Box1-32	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.0826			grams
13189.WT22.tp4			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-03-13 00:00:00		2020-03-17 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	70		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-22	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	22			13189	feces	mouse gut metagenome	female	94.91	ng/ul	Box1-52	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0995			grams
13189.WT24.tp0			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-14 00:00:00		2020-03-16 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	42		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-24	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		7	24			13189	feces	mouse gut metagenome	female	176.8	ng/ul	Box1-13	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1437			grams
13189.WT24.tp2			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-02-28 00:00:00		2020-03-16 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	56		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-24	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	24			13189	feces	mouse gut metagenome	female	146.4	ng/ul	Box1-33	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1316			grams
13189.WT24.tp4			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-5		BMT	2020-03-13 00:00:00		2020-03-16 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	70		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-24	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	24			13189	feces	mouse gut metagenome	female	91.85	ng/ul	Box1-53	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1295			grams
