sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	bone_marrow_transplant_timestamp	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	donor_genotype	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	irradiated	irradiation_dosage	irradiation_dosage_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	title	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
13189.WT36.tp4			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-8		BMT	2020-03-27 00:00:00		2020-03-30 00:00:00			no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	64		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-36	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	36			13189	feces	mouse gut metagenome	female	81.5	ng/ul	Box1-60	410661	4 weeks after BMT	4	pax5 bone marrow transplant	198			grams
13189.WT5.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00		2020-03-30 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-5	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1	5			13189	feces	mouse gut metagenome	female	45.6	ng/ul	Box1-1	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1332			grams
13189.WT5.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00		2020-03-30 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-5	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	5			13189	feces	mouse gut metagenome	female	67.9	ng/ul	Box1-21	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.2828			grams
13189.WT5.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00		2020-03-30 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-5	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	5			13189	feces	mouse gut metagenome	female	147	ng/ul	Box1-41	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1252			grams
13189.WT5.tp6			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-28 00:00:00		2020-03-30 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-5	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	5			13189	feces	mouse gut metagenome	female	250.2	ng/ul	Box1-61	410661	6 weeks after BMT	6	pax5 bone marrow transplant	153			grams
13189.WT5.tp8			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-03-13 00:00:00		2020-03-30 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-5	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	5			13189	feces	mouse gut metagenome	female	102.8	ng/ul	Box1-73	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.2009			grams
13189.WT6.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00		2020-03-13 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-6	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		2	6			13189	feces	mouse gut metagenome	female	100.7	ng/ul	Box1-2	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1471			grams
13189.WT6.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00		2020-03-13 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-6	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	6			13189	feces	mouse gut metagenome	female	75.4	ng/ul	Box1-22	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.2268			grams
13189.WT6.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00		2020-03-13 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-6	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	6			13189	feces	mouse gut metagenome	female	68	ng/ul	Box1-42	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1007			grams
13189.WT6.tp6			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-28 00:00:00		2020-03-13 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-6	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	6			13189	feces	mouse gut metagenome	female	33.5	ng/ul	Box1-62	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1145			grams
