sample_name	birth_timestamp	cage	cage_timestamp	cohort	collection_timestamp	death_timestamp	demux_index	description	diseased	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	facility	father_subject_id	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mother_subject_id	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	start_cohousing_timestamp	stool_dna_concentration	stool_dna_concentration_units	taxon_id	timepoint_title	title	tube_number	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
11758.WT4.nr11.tp10	2016-12-08	2	2017-01-23	cohousing	2017-12-01	2018-02-08	9	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	358	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-4	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 9	-5.66388	not provided	7N	11	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	88.1	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.169	0.128	grams	grams
11758.WT5.nr12.tp01	2016-12-08	2	2017-01-23	cohousing	2017-03-06	2018-02-08	13	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	88	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-5	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 12	-5.66388	not provided	8N	12	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	81.5	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	12	0.273	0.158	grams	grams
11758.WT5.nr12.tp10	2016-12-08	2	2017-01-23	cohousing	2017-12-01	2018-02-08	10	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	358	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-5	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 10	-5.66388	not provided	8N	12	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	124	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.165	0.147	grams	grams
11758.WT6.nr15.tp01	2017-01-15	3	2017-02-08	cohousing	2017-03-13	not collected	10	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	CF	not provided	WT	Spain:Salamanca	57	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-6	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 15	-5.66388	not provided	1	15	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-08 00:00:00	111.4	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	15	0.14	0.208	grams	grams
11758.WT6.nr15.tp10	2017-01-15	3	2017-02-08	cohousing	2017-12-13	not collected	13	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	CF	not provided	WT	Spain:Salamanca	332	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-6	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 13	-5.66388	not provided	1	15	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-08 00:00:00	284.5	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.188	0.137	grams	grams
11758.WT7.nr22.tp01	2017-01-15	4	2017-02-22	cohousing	2017-03-29	not collected	19	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	CF	not provided	WT	Spain:Salamanca	73	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-7	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 22	-5.66388	not provided	1N	22	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-22 00:00:00	61.5	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	22	0.148	0.112	grams	grams
11758.WT7.nr22.tp10	2017-01-15	4	2017-02-22	cohousing	2017-12-13	not collected	20	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	CF	not provided	WT	Spain:Salamanca	332	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-7	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 20	-5.66388	not provided	1N	22	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-22 00:00:00	50.5	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.18	0.128	grams	grams
11758.WT8.nr10.tp01	2017-01-15	2	2017-01-23	cohousing	2017-03-06	2018-02-08	15	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	50	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-8	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 10	-5.66388	not provided	1	10	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-14 00:00:00	89.1	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	10	0.275	0.219	grams	grams
11758.WT8.nr10.tp10	2017-01-15	2	2017-01-23	cohousing	2017-12-01	2018-02-08	8	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	320	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-8	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 8	-5.66388	not provided	1	10	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-14 00:00:00	62.8	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.233	0.133	grams	grams
11758.WT8.nr23.tp10	2017-01-15	4	2017-02-22	cohousing	2017-12-13	not collected	not provided	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	CF	not provided	WT	Spain:Salamanca	332	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-9	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 21	-5.66388	not provided	1	23	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-02-22 00:00:00	148.2	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.09	0.095	grams	grams
